t=2026-01-16T11:19:47-0500 lvl=info msg="no configuration paths supplied"
t=2026-01-16T11:19:47-0500 lvl=info msg="using configuration at default config path" path="/Users/familiaperdomobocachica2/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-16T11:19:47-0500 lvl=info msg="open config file" path="/Users/familiaperdomobocachica2/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-16T11:19:47-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-16T11:19:47-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-16T11:19:48-0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-16T11:19:48-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-16T11:19:48-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://jaquelyn-pseudophilosophical-odell.ngrok-free.dev
t=2026-01-16T11:21:00-0500 lvl=info msg="join connections" obj=join id=69522ae882e1 l=[::1]:5173 r=206.62.142.250:59790
t=2026-01-16T11:21:15-0500 lvl=info msg="join connections" obj=join id=f1190cefd40d l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:4800:0:a]:48289
t=2026-01-16T11:21:34-0500 lvl=info msg="join connections" obj=join id=da61bb54b7fd l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:4800:0:a]:48289
t=2026-01-16T11:21:46-0500 lvl=info msg="join connections" obj=join id=f87a02b086d0 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:4800:0:a]:48289
t=2026-01-16T11:22:57-0500 lvl=info msg="join connections" obj=join id=84ddf416d684 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:4800:0:a]:48289
t=2026-01-16T11:23:38-0500 lvl=info msg="join connections" obj=join id=b6f366aaf192 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:38-0500 lvl=info msg="join connections" obj=join id=b9191387a0ec l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:38-0500 lvl=info msg="join connections" obj=join id=1c9e1bc752cd l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=19fc0f911348 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=ace7e911d433 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=daa79c5e8806 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=9506eee9b40b l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=1545ea0d08ea l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=ad4ab31afe89 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=d03695ca8dc5 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=7da94cc88622 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=55da19a23841 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=cc0f4a8533f7 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=1bd756795833 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:39-0500 lvl=info msg="join connections" obj=join id=ed2957b0bc62 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:8800:0:a]:33419
t=2026-01-16T11:23:40-0500 lvl=info msg="join connections" obj=join id=c3c9f39e0115 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:c000:0:9]:20932
t=2026-01-16T11:23:56-0500 lvl=info msg="join connections" obj=join id=d1daf5690ca8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=1245b294ed14 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=284f4b51de15 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=5eb89f30a8cf l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=fb87dd869541 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=1f703ea6d138 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=19b942fb0eed l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:57-0500 lvl=info msg="join connections" obj=join id=8ee1b03957b8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:4000:0:c]:57567
t=2026-01-16T11:23:58-0500 lvl=info msg="join connections" obj=join id=e21355679021 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c800:0:3]:38818
t=2026-01-16T11:25:40-0500 lvl=info msg="join connections" obj=join id=78a6331ec177 l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:42700
t=2026-01-16T11:25:40-0500 lvl=info msg="join connections" obj=join id=10ede4797747 l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:42700
t=2026-01-16T11:25:40-0500 lvl=info msg="join connections" obj=join id=74797786b005 l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:42700
t=2026-01-16T11:26:43-0500 lvl=info msg="join connections" obj=join id=2fb693e5c433 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:44-0500 lvl=info msg="join connections" obj=join id=a3c095f1260a l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:44-0500 lvl=info msg="join connections" obj=join id=b3b9dc57038b l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:44-0500 lvl=info msg="join connections" obj=join id=d207820b58e0 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:44-0500 lvl=info msg="join connections" obj=join id=5e60a516e8f7 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=3bc4b65a4446 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=0d3dd7d6f078 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=5a1f35f41a6f l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=99e4197bff40 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=846caa09dcd5 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:26:45-0500 lvl=info msg="join connections" obj=join id=adcedbf41925 l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:1000:0:2]:41245
t=2026-01-16T11:27:07-0500 lvl=info msg="join connections" obj=join id=47f91743afd8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:27:50-0500 lvl=info msg="join connections" obj=join id=dee0d721d166 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=d8c8e8a52bae l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=cb4dd32570a9 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=d0778323b972 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=34684b4897d8 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=fa2a5bede18f l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:51-0500 lvl=info msg="join connections" obj=join id=1f9b5be4511e l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=14201dc71941 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=b776757364ae l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=0224b7e676d9 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=fc5cfbcae347 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=167b4cbb68f2 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=e37d3788db67 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=c4ce37cc0a25 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=c92e6cc342cc l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:27:52-0500 lvl=info msg="join connections" obj=join id=88c52230aa62 l=[::1]:5173 r=186.102.27.68:3100
t=2026-01-16T11:28:25-0500 lvl=info msg="join connections" obj=join id=684993c7e755 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:28:25-0500 lvl=info msg="join connections" obj=join id=8f18e00e0cc3 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:28:25-0500 lvl=info msg="join connections" obj=join id=a7961f4d4d5a l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:28:25-0500 lvl=info msg="join connections" obj=join id=552ef2256642 l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:28:25-0500 lvl=info msg="join connections" obj=join id=d5a32fc24a1a l=[::1]:5173 r=186.102.27.68:3097
t=2026-01-16T11:28:45-0500 lvl=info msg="join connections" obj=join id=a2c6949ddbb8 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:45-0500 lvl=info msg="join connections" obj=join id=444848371664 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:45-0500 lvl=info msg="join connections" obj=join id=b5c6d9833879 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:45-0500 lvl=info msg="join connections" obj=join id=afdd774a66ee l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:45-0500 lvl=info msg="join connections" obj=join id=176540b98ca2 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=877a74f50e67 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=072b1f5944b7 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=8bef25354b4d l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=438cff19e6db l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=00aa67855a97 l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=6c267b18b975 l=[::1]:5173 r=186.102.27.68:3121
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=3e7999fe51fe l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=03607c398f0f l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=9d2fda117fca l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:28:46-0500 lvl=info msg="join connections" obj=join id=b1004068901d l=[::1]:5173 r=186.102.27.68:3120
t=2026-01-16T11:29:02-0500 lvl=info msg="join connections" obj=join id=1d412f98d3f7 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:02-0500 lvl=info msg="join connections" obj=join id=aa666318e83c l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:02-0500 lvl=info msg="join connections" obj=join id=b258c1ac2b6e l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:02-0500 lvl=info msg="join connections" obj=join id=a5c3b2927d28 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:02-0500 lvl=info msg="join connections" obj=join id=44246abf589f l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=b109b9d5f0b5 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=7f59532ec9a8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=e0973574b3b6 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=3a3a9d529905 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=48c6ee49ed9f l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:03-0500 lvl=info msg="join connections" obj=join id=92727b1507bb l=[::1]:5173 r=[2a02:26f7:f7c2:e111:0:e000:0:a]:20357
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=d7472213a093 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=c170d8c2ba42 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=fb87cec6dd9f l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=42163f93518d l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=6e2e244fc2fd l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=c272a911aad2 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=e2409153bf50 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:05-0500 lvl=info msg="join connections" obj=join id=c39ae0701b88 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:06-0500 lvl=info msg="join connections" obj=join id=3e61131a3635 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:8800:0:a]:61309
t=2026-01-16T11:29:13-0500 lvl=info msg="join connections" obj=join id=a9a4d8357e35 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:14-0500 lvl=info msg="join connections" obj=join id=04c34981dcb8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:14-0500 lvl=info msg="join connections" obj=join id=ad417ccb950a l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:14-0500 lvl=info msg="join connections" obj=join id=73920dd6fcb5 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
t=2026-01-16T11:29:14-0500 lvl=info msg="join connections" obj=join id=26719ae07a41 l=[::1]:5173 r=[2a02:26f7:f7c0:e111:0:c000:0:e]:14123
